symbol,requested_as,earliest,latest,bars,duplicates,gaps,missing_bars,impossible_ohlc,non_positive_price,dead_runs,dead_bars,extreme_jumps,outlier_wicks,note
BTC/USDT:USDT,,2019-09-08,2026-07-26,241248,0,0,0,0,0,2,15,30,3,
ETH/USDT:USDT,,2019-11-27,2026-07-26,233608,0,0,0,0,0,1,6,28,3,
SOL/USDT:USDT,,2020-09-14,2026-07-26,205579,0,0,0,0,0,0,0,22,0,
BNB/USDT:USDT,,2020-02-10,2026-07-26,226407,0,0,0,0,0,0,0,30,0,
XRP/USDT:USDT,,2020-01-06,2026-07-26,229766,0,0,0,0,0,0,0,53,5,
DOGE/USDT:USDT,,2020-07-10,2026-07-26,211907,0,0,0,0,0,0,0,42,1,
ADA/USDT:USDT,,2020-01-31,2026-07-26,227367,0,0,0,0,0,0,0,32,1,
AVAX/USDT:USDT,,2020-09-23,2026-07-26,204715,0,0,0,0,0,0,0,24,1,
LINK/USDT:USDT,,2020-01-17,2026-07-26,228711,0,0,0,0,0,0,0,25,0,
DOT/USDT:USDT,,2020-08-22,2026-07-26,207787,0,0,0,0,0,0,0,27,0,
POL/USDT:USDT,MATIC/USDT:USDT,2024-09-13,2026-07-26,65398,0,0,0,0,0,0,0,3,0,"MATIC perp delisted after the Polygon rebrand; substituted with POL, history starts 2024-09-13, much shorter than legacy MATIC"
UNI/USDT:USDT,,2020-09-18,2026-07-26,205195,0,0,0,0,0,0,0,26,1,
ATOM/USDT:USDT,,2020-02-07,2026-07-26,226679,0,0,0,0,0,0,0,21,1,
LTC/USDT:USDT,,2020-01-09,2026-07-26,229479,0,0,0,0,0,0,0,34,0,
FIL/USDT:USDT,,2020-10-16,2026-07-26,202511,0,0,0,0,0,0,0,40,1,
APT/USDT:USDT,,2022-10-19,2026-07-26,132159,0,0,0,0,0,0,0,20,0,
ARB/USDT:USDT,,2023-03-23,2026-07-26,117227,0,0,0,0,0,0,0,15,2,
OP/USDT:USDT,,2022-06-01,2026-07-26,145551,0,0,0,0,0,0,0,20,1,
NEAR/USDT:USDT,,2020-10-15,2026-07-26,202599,0,0,0,0,0,0,0,22,1,
INJ/USDT:USDT,,2022-08-17,2026-07-26,138204,0,0,0,0,0,0,0,14,0,
SUI/USDT:USDT,,2023-05-03,2026-07-26,113287,0,0,0,0,0,0,0,21,1,
TIA/USDT:USDT,,2023-10-31,2026-07-26,95903,0,0,0,0,0,0,0,9,0,
SEI/USDT:USDT,,2023-08-17,2026-07-26,103165,0,0,0,0,0,0,0,10,0,
1000PEPE/USDT:USDT,PEPE/USDT:USDT,2023-05-05,2026-07-26,113093,0,0,0,0,0,0,0,21,0,"Binance lists PEPE under a 1000x contract multiplier; prices are 1000x the spot token price, harmless for ATR/return-based logic"
WIF/USDT:USDT,,2024-01-18,2026-07-26,88334,0,0,0,0,0,0,0,4,1,
FET/USDT:USDT,,2023-01-17,2026-07-26,123517,0,0,0,0,0,0,0,11,1,
RENDER/USDT:USDT,,2024-07-26,2026-07-26,70111,0,0,0,0,0,0,0,5,0,
STX/USDT:USDT,,2023-02-21,2026-07-26,120109,0,0,0,0,0,0,0,16,0,
AAVE/USDT:USDT,,2020-10-16,2026-07-26,202507,0,0,0,0,0,0,0,28,0,
MKR/USDT:USDT,,2020-08-13,2025-09-07,177764,0,0,0,0,0,0,0,17,3,perpetual has been inactive/zero-volume (frozen price) since 2025-09-08; truncated to the last live date per user decision on 2026-07-26
